page,part_number,description,price,includes
47,NX-1300DUBK,"UHF (450-520MHz), 5W, 64 CH, Basic Model, DMR/Analog",405.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
47,NX-1300DUBK2,"UHF (450-520MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
47,NX-1300DUBK4,"UHF (400-470MHz), 5W, 64 CH, Basic Model, DMR/Analog",405.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
47,NX-1300DUBK5,"UHF (400-470MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1200-ISCDBK,"VHF (136-174MHz), 5W, 64 CH, Basic Model, DMR/Analog",602.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1200-ISCDBK2,"VHF (136-174MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1300-ISCDBK,"UHF (450-520MHz), 5W, 64 CH, Basic Model, DMR/Analog",602.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1300-ISCDBK2,"UHF (450-520MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1300-ISCDBK4,"UHF (400-470MHz), 5W, 64 CH, Basic Model, DMR/Analog",602.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
48,NX-1300-ISCDBK5,"UHF (400-470MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
51,NX-1300DUK3,"UHF (450-520MHz), 5W, 260 CH, Full Keypad Model, DMR/Analog",601.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
51,NX-1300DUK6,"UHF (400-470MHz), 5W, 260 CH, Full Keypad Model, DMR/Analog",601.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
54,NX-1200AVBK2,"VHF (136-174MHz), 5W, 260 CH, LCD & Standard Keypad, Analog",463.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
54,NX-1300AUBK,"UHF (450-520MHz), 5W, 64 CH, Basic, Analog",373.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
54,NX-1300AUBK2,"UHF (450-520 MHz), 5W, 260 CH, LCD & Standard Keypad,Analog",463.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
